"play_id","game_id","season","season_type","start_time","posteam","posteam_type","game_date","qtr","game_seconds_remaining","play_type","kick_distance","score_differential","ep","kicker_player_id","kicker_player_name","stadium_id","weather","roof","temp","wind","forecast_parsed","temp_parsed","humidity_parsed","wind_direction_parsed","wind_speed_parsed","surface_type","fg_made","Indoor","Turf","Altitude","Precip","night_game","high_leverage","away_game","playoffs","temp_bucket","cold","hot","humid_game","wind_bucket","moderate_wind","high_wind","windy_day","wind_speed_x_kick_distance","cold_x_wind"
2204,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","NYG","away","2024-10-28",2,1825,"field_goal",44,-3,2.27787165668907,"00-0034450","G.Joseph","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,308,0
3765,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","PIT","home","2024-10-28",4,439,"field_goal",27,8,2.89563997726643,"00-0031136","C.Boswell","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,189,0
3997,"2024_08_NYG_PIT",2024,"REG","10/28/24, 20:15:29","NYG","away","2024-10-28",4,310,"field_goal",48,-11,1.58723359694684,"00-0034450","G.Joseph","PIT00","Clear Temp: 54° F, Humidity: 57%, Wind: SSE 7 mph","outdoors",54,7,"Clear",54,57,"SSE",7,"grass",1,0,0,0,0,1,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,336,0
2393,"2024_08_NYJ_NE",2024,"REG","10/27/24, 13:03:11","NYJ","away","2024-10-27",3,1377,"field_goal",29,-1,2.86651385086613,"00-0029621","G.Zuerlein","BOS00","Sunny Temp: 53° F, Humidity: 34%, Wind: E 8 mph","outdoors",53,8,"Sunny",53,34,"E",8,"fieldturf",1,0,1,0,0,0,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,232,0
3057,"2024_08_NYJ_NE",2024,"REG","10/27/24, 13:03:11","NYJ","away","2024-10-27",4,763,"field_goal",44,2,2.10036930835509,"00-0029621","G.Zuerlein","BOS00","Sunny Temp: 53° F, Humidity: 34%, Wind: E 8 mph","outdoors",53,8,"Sunny",53,34,"E",8,"fieldturf",0,0,1,0,0,0,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,352,0
3416,"2024_08_NYJ_NE",2024,"REG","10/27/24, 13:03:11","NE","home","2024-10-27",4,456,"field_goal",23,-2,2.94049303108033,"00-0035192","J.Slye","BOS00","Sunny Temp: 53° F, Humidity: 34%, Wind: E 8 mph","outdoors",53,8,"Sunny",53,34,"E",8,"fieldturf",1,0,1,0,0,0,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,184,0
805,"2024_08_PHI_CIN",2024,"REG","10/27/24, 13:02:29","PHI","away","2024-10-27",2,2654,"field_goal",39,-7,2.43179694547061,"00-0033787","J.Elliott","CIN00","Sunny Temp: 59° F, Humidity: 37%, Wind: ENE 6 mph","outdoors",59,6,"Sunny",59,37,"ENE",6,"fieldturf",1,0,1,0,0,0,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,234,0
1096,"2024_08_PHI_CIN",2024,"REG","10/27/24, 13:02:29","CIN","home","2024-10-27",2,2376,"field_goal",27,4,2.8919298284117,"00-0036854","E.McPherson","CIN00","Sunny Temp: 59° F, Humidity: 37%, Wind: ENE 6 mph","outdoors",59,6,"Sunny",59,37,"ENE",6,"fieldturf",1,0,1,0,0,0,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,162,0
1482,"2024_08_PHI_CIN",2024,"REG","10/27/24, 13:02:29","CIN","home","2024-10-27",2,2113,"field_goal",54,7,0.748023192432315,"00-0036854","E.McPherson","CIN00","Sunny Temp: 59° F, Humidity: 37%, Wind: ENE 6 mph","outdoors",59,6,"Sunny",59,37,"ENE",6,"fieldturf",0,0,1,0,0,0,0,0,0,"Moderate",0,0,0,"Moderate",1,0,0,324,0
3120,"2024_08_PHI_CIN",2024,"REG","10/27/24, 13:02:29","PHI","away","2024-10-27",4,819,"field_goal",49,7,1.48050033723775,"00-0033787","J.Elliott","CIN00","Sunny Temp: 59° F, Humidity: 37%, Wind: ENE 6 mph","outdoors",59,6,"Sunny",59,37,"ENE",6,"fieldturf",1,0,1,0,0,0,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,294,0
3767,"2024_08_PHI_CIN",2024,"REG","10/27/24, 13:02:29","PHI","away","2024-10-27",4,120,"field_goal",47,17,1.69715075025213,"00-0033787","J.Elliott","CIN00","Sunny Temp: 59° F, Humidity: 37%, Wind: ENE 6 mph","outdoors",59,6,"Sunny",59,37,"ENE",6,"fieldturf",1,0,1,0,0,0,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,282,0
1106,"2024_09_DEN_BAL",2024,"REG","11/3/24, 13:02:26","BAL","home","2024-11-03",2,2527,"field_goal",33,7,2.73382487897462,"00-0029597","J.Tucker","BAL00","Clear Temp: 57° F, Humidity: 30%, Wind: ENE 3 mph","outdoors",57,3,"Clear",57,30,"ENE",3,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,99,0
2004,"2024_09_DEN_BAL",2024,"REG","11/3/24, 13:02:26","DEN","away","2024-11-03",2,1858,"field_goal",37,-10,2.60708824601842,"00-0032569","W.Lutz","BAL00","Clear Temp: 57° F, Humidity: 30%, Wind: ENE 3 mph","outdoors",57,3,"Clear",57,30,"ENE",3,"grass",1,0,0,0,0,0,0,1,0,"Moderate",0,0,0,"Low",0,0,0,111,0
3215,"2024_09_DEN_BAL",2024,"REG","11/3/24, 13:02:26","BAL","home","2024-11-03",4,773,"field_goal",37,28,2.52524125227946,"00-0029597","J.Tucker","BAL00","Clear Temp: 57° F, Humidity: 30%, Wind: ENE 3 mph","outdoors",57,3,"Clear",57,30,"ENE",3,"grass",1,0,0,0,0,0,0,0,0,"Moderate",0,0,0,"Low",0,0,0,111,0
417,"2024_09_DET_GB",2024,"REG","11/3/24, 16:25:57","GB","home","2024-11-03",1,3129,"field_goal",30,0,2.82066240617018,"00-0029822","B.McManus","GNB00","Rain Temp: 50° F, Humidity: 86%, Wind: E 15 mph","outdoors",50,15,"Rain",50,86,"E",15,"grass",1,0,0,0,1,0,0,0,0,"Moderate",0,0,1,"Moderate",1,0,1,450,0
1493,"2024_09_DET_GB",2024,"REG","11/3/24, 16:25:57","GB","home","2024-11-03",2,2128,"field_goal",46,-4,1.80292819516168,"00-0029822","B.McManus","GNB00","Rain Temp: 50° F, Humidity: 86%, Wind: E 15 mph","outdoors",50,15,"Rain",50,86,"E",15,"grass",0,0,0,0,1,0,0,0,0,"Moderate",0,0,1,"Moderate",1,0,1,690,0
1767,"2024_09_DET_GB",2024,"REG","11/3/24, 16:25:57","DET","away","2024-11-03",2,1861,"field_goal",27,4,2.9008948029448,"00-0039172","J.Bates","GNB00","Rain Temp: 50° F, Humidity: 86%, Wind: E 15 mph","outdoors",50,15,"Rain",50,86,"E",15,"grass",1,0,0,0,1,0,0,1,0,"Moderate",0,0,1,"Moderate",1,0,1,405,0
2855,"2024_09_DET_GB",2024,"REG","11/3/24, 16:25:57","GB","home","2024-11-03",3,952,"field_goal",38,-21,2.43010372976544,"00-0029822","B.McManus","GNB00","Rain Temp: 50° F, Humidity: 86%, Wind: E 15 mph","outdoors",50,15,"Rain",50,86,"E",15,"grass",1,0,0,0,1,0,0,0,0,"Moderate",0,0,1,"Moderate",1,0,1,570,0
2161,"2024_09_HOU_NYJ",2024,"REG","10/31/24, 20:15:54","HOU","away","2024-10-31",2,1827,"field_goal",56,7,1.07789257084143,"00-0032726","K.Fairbairn","NYC01","Warm. 71 and cloudy Temp: 71° F, Humidity: 65%, Wind: SSW 8 mph","outdoors",71,8,"Warm. 71 and cloudy",71,65,"SSW",8,"fieldturf",0,0,1,0,0,1,0,1,0,"Moderate",0,0,0,"Moderate",1,0,0,448,0
